Зона|Провинция|Культура|Уровень технологий|Предшественник|Процессы|Операции|Номер Операции|Технологические параметры|Сроки|Техника
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Основное внесение удобрений|Внесение органических удобрений|93|Перепревший навоз, торфонавозный компост, сидерат и др. виды органических удобрений из расчета 5-10 т/га севооборотной площади, с обязательной заделкой в системе основной обработки почвы, включающей лущение или дискование с последующей вспашкой на 20-25 см.|Осенью при основной обработке почвы под паро-занимающую культуру или после первого укоса многолетних трав|Машины для внесения органических удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Основное внесение удобрений|Основное внесение минеральных удобрений|94|Дифференцированное внесение в зависимости от содержания в почве доступных форм основных элементов питания: N15P105K105 - разбросным способом под основную обработку почвы или под культивацию; N15P15K15 - в рядки при посеве|N15P105K105 - разбросным способом под основную обработку почвы или под культивацию;N15P15K15 - в рядки при посеве|Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики; Разбрасыватели туков; Сеялки с устройствами для внесения удобрений 
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Подготовка семян к посеву|Воздушно-тепловой обогрев|95|3-5 дн. на солнце или в сушилке при t45°C 2-3 часа |Перед посевом|Оборудование для теплового обогрева
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Подготовка семян к посеву|Инкрустирование семян оболочкой с наполнителями (фунгициды и инсектициды)|96| На 1 т семян: вода + прилипатель + протравитель (Винцит Форте 1,25 л/т + Пикус 1,0 л/т). Расход раб.жидкости – 10 л/т.|Перед посевом. Свежеубранные семена не позднее 2-3 дней; из переходящего фонда - за 2-3 недели до посева|Оборудование для инкрустирования и протравливания семян
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Посев|Загрузка семян в транспортные средства|97||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Посев|Транспортировка|98|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Посев|Посев|99|Посев с одновременным внесением стартовой дозы удобрений и с оставлением технологической колеи. Оставлять незасеянные рядки семян шириной колеи до 60 см и кратной за­хвату агрегата по уходу за посевами. Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см. Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия почвы)| При среднесуточной температуре не выше 16-18 оС в течение 3 суток. Среднестатистические календарные сроки 25 августа – 15 сентября|Зернотуковые сеялки или комбинированные посевные агрегаты с предпосевной обработкой почвы
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уход за посевами|Боронование посевов|100|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|101|Опрыскивание посевов баковой смесью пестицидов. 1. С осени – гербициды Атон, ВДГ 0,06 кг/га + инсектицид Данадим Пауер, КЭ 0,6 л/га + фунгицид Импакт Эксклюзив, КС 0,5 л/га + ретардант Сапресс, КЭ 0,3 л/га;|Осенью в фазу кущения растений;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|102|Опрыскивание посевов баковой смесью пестицидов. 2. Весной (фаза GS 21 - 22) – инсектициды Данадим Пауер, КЭ 0,6 л/га + Вантекс 60 мл/га + фунгицид Альто Супер, КЭ 0,5 л/га + гербициды Фокстрот, ВЭ 1,0 л/га и Агроксон 0,5 л/га.|Весной в фазу кущения – начала трубкования;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|103|Опрыскивание посевов баковой смесью пестицидов. 3. В начале трубкования (фаза GS 31-32) - ретардант Сапресс, КЭ 0,3 л/га + фунгицид Консул 0,8 л/га + инсектицид Данадим Пауер 0,6 л/га (при массовом развитии вредителей и эпифитотийном развитии болезней).|В фазу начала колошения по прогнозу развития болезней и вредителей.|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|104|Опрыскивание посевов баковой смесью пестицидов. 4. Для защиты флагового листа и колоса – Консул, КС 1,0 л/га + Вантекс, МКС 60 мл/га.|В фазу начала колошения по прогнозу развития болезней и вредителей.|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уход за посевами|Подкормки азотными удобрениями|105|Дифференцированное внесение по результатам листовой диагностики: в среднем  - N60 весной в кущение, |В фазы:  весеннего кущения, |Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики; Разбрасыватели туков;  Штанговые опрыскиватели для внесения жидких удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уход за посевами|Подкормки азотными удобрениями|106|Дифференцированное внесение по результатам листовой диагностики: в среднем  - N30 в фазу выхода в трубку, |В фазы:  выхода в трубку, |Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики; Разбрасыватели туков;  Штанговые опрыскиватели для внесения жидких удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уход за посевами|Подкормки азотными удобрениями|107|Дифференцированное внесение по результатам листовой диагностики: в среднем  - N30 – в колошение - цветение (для повышения качества зерна рекомендуется проводить внекорневую подкормку 15-20 % раствором мочевины).|В фазы:  колошения|Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики; Разбрасыватели туков;  Штанговые опрыскиватели для внесения жидких удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уход за посевами|Внекорневые обработки|108|1. Обработка в фазу кущения – начала трубкования жидкими комплексными удобрениями ЖКУ APALIQVA NP 11:37 30 кг/га + растворами микроудобрений с гуматом калия + биологические стимуляторы роста + микробиологические препараты фунгицидного действия Метабактерин, СП 12 г/га или АпаСил 100 г/га.|в фазу кущения – начала трубкования|Штанговые опрыскиватели для внесения жидких удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уборка урожая|Обкашивание полей|109|Восковая спелость|За 10 дней до начала основной уборки|Комбайны с датчиками урожайности и системами позиционирования
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Уборка урожая|Прямое комбайнирование|110|При влажности зерна 16%||Комбайны с датчиками урожайности и системами позиционирования
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Послеуборочная обработка зерна|Взвешивание|111|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Послеуборочная обработка зерна|Предварительная очистка|112|Очистка от первичных примесей||Машины предварительной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Послеуборочная обработка зерна|Сушка зерна|113|||Сушилки стационарные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Послеуборочная обработка зерна|Первичная очистка|114|Доведение зерна до кондиционных параметров || Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Послеуборочная обработка зерна|Подготовка семян|115|Доведение семян до кондиционных параметров согласно требованиям ГОСТ Р 52325-2005г на семена|| Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Послеуборочная обработка зерна|Проверка качества зерна|116| 1класс - клейковина более 32%, ИДК менее 80 ед. ; 2 класс - клейковина 28-32%, ИДК 80% ;  3 класс -клейковина 23-28%, ИДК-95 ед. |При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение или элеватор|117||После очистки|Зернопогрузчики, автомобили с датчиками ГИС-навигации
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Лущение|118|На 6-8см в 1 -2 следа|Вслед за уборкой предшественника|Лущильники лемешные или дисковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Вспашка|119|На 20-22см с полной заделкой растительных остатков|Через 8-10 дней после лущения|Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Культивация с боронованием|120|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Предпосевная обработка|121|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Дискование|122|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны тяжелые дисковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Вспашка|123|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Культивация с боронованием|124|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Предпосевная обработка|125|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные}|Обработка почвы|Поверхностная обработка дискованием|126|В 1 -2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные}|Обработка почвы|Культивация с боронованием|127|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные}|Обработка почвы|Предпосевная обработка|128|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Посев|Загрузка семян в транспортные средства|129||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Посев|Транспортировка|130|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Посев|Посев|131|Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см. Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия почвы)|При среднесуточной температуре не выше 16-18 оС в течение 3 суток. Среднестатистические календарные сроки 25 августа – 15 сентября|Сеялки зерновые и зернотуковые, рядовые и узкорядные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Уход за посевами|Боронование посевов|132|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Уборка |Прямое комбайнирование|133|При влажности зерна 20 %||Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Уборка |Раздельная уборка: скашивание в валки|134|При засорённом хлебостое, влажности зерна 24-26%||Жатки валковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Уборка |Подбор валков|135|Влажность зерна не более 14-15%.|Через 3-5 дней после скашивания|Комбайны с подборщиками
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Послеуборочная обработка зерна|Взвешивание|136|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Послеуборочная обработка зерна|Предварительная очистка|137|Очистка от первичных примесей||Машины предварительной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Послеуборочная обработка зерна|Сушка зерна|138|||Сушилки стационарные, передвижные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Послеуборочная обработка зерна|Первичная очистка|139|Доведение зерна до кондиционных параметров по содержанию посторонних включений||Машины первичной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Послеуборочная обработка зерна|Проверка качества зерна|140| |При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение или элеватор|141||После очистки|Зернопогрузчики, автомобили
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные, зернобобовые}|Обработка почвы|Поверхностная обработка дискованием|142|В 1 -2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные, зернобобовые}|Обработка почвы|Культивация с боронованием|143|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные, зернобобовые}|Обработка почвы|Предпосевная обработка|144|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Поверхностная обработка дискованием|145|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Вспашка|146|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Культивация с боронованием|147|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Предпосевная обработка|148|На глубину посева|Перед посевом|Комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Основное внесение удобрений|Внесение органических удобрений|149|в дозе 5-10 т/га севооборотной площади|После уборки предшественника под вспашку|Машины для внесения органических удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Основное внесение удобрений|Внесение минеральных удобрений|150|N30P60K60|Фосфорные и калийные под основную обработку. Азотные под предпосевную обработку или совместно с посевом|Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики; Разбрасыватели туков; Сеялки с устройствами для внесения удобрений 
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Подготовка семян к посеву|Простое протравливание|151| Фунгицидные протравители: Винцит Форте 1,5 л/т|Свежеубранные семена не позднее 2-3 дней до посева|Оборудование для протравливания семян
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Посев|Загрузка семян в транспортные средства|152||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Посев|Транспортировка|153|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Посев|Посев|154|Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см. Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия |При среднесуточной температуре не выше 16-18 оС в течение 3 суток. Среднестатистические календарные сроки 25 августа – 15 сентября|Сеялки зерновые и зернотуковые рядовые и узкорядные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Уход за посевами|Боронование посевов|155|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|156|Опрыскивание посевов баковой смесью гербицида, инсектицида и фунгицида (Линтур 180 г/га + Данадим, КЭ 1 л/га + Импакт, КС 0,5 л/га).|Осенью или весной в фазу кущения растений|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Уход за посевами|Подкормки азотными удобрениями|157|N60|В фазу весеннего отрастания|Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики;  Разбрасыватели туков
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Уборка урожая|Обкашивание полей|158|Восковая спелость|За 10 дней до начала основной уборки|Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Уборка урожая|Прямое комбайнирование|159|При влажности зерна 18-20%||Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Уборка урожая|Раздельная уборка: скашивание в валки|160|При засорённом хлебостое, влажности зерна 24-26%||Жатки валковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Уборка урожая|Подбор валков|161|Влажность зерна не более 14-15%.|Через 3-5 дней после скашивания|Комбайны с подборщиками
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Послеуборочная обработка зерна|Взвешивание|162|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Послеуборочная обработка зерна|Предварительная очистка|163|Очистка от первичных примесей||Машины предварительной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Послеуборочная обработка зерна|Сушка зерна|164|||Сушилки стационарные, передвижные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Послеуборочная обработка зерна|Первичная очистка|165|Доведение зерна до кондиционных параметров по содержанию посторонних включений||Машины первичной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Послеуборочная обработка зерна|Подготовка семян|166|Доведение семян до кондиционных параметров согласно требованиям ГОСТ Р 52325-2005г на семена||Приставки семяочистительные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Послеуборочная обработка зерна|Проверка качества зерна|167| |При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение или элеватор|168||После очистки|Зернопогрузчики, автомобили
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Поверхностная обработка дискованием|169|В 1 -2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Культивация с боронованием|170|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Предпосевная обработка|171|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Поверхностная обработка дискованием|172|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Вспашка|173|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Культивация с боронованием|174|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Предпосевная обработка|175|На глубину посева|Перед посевом|Комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Основное внесение удобрений|Известкование|176|2-5 тонн извести на га, в зависимости от кислотности почвы (доза в т/га рассчитывается по гидролитической кослотности), с обязательной заделкой в системе основной обработки почвы, включающей лущение или дискование с последующей вспашкой на 20-25 см.|Осенью при основной обработке почвы под паро-занимающую культуру или после первого укоса многолетних трав|Спецмашины по разбрасыванию извести
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Основное внесение удобрений|Внесение органических удобрений|177|Перепревший навоз, торфо-навозный компост, сидерат и др. виды органических удобрений из расчета 5-10 т/га севооборотной площади, с обязательной заделкой в системе основной обработки почвы, включающей лущение или дискование с последующей вспашкой на 20-25 см.|Осенью при основной обработке почвы под паро-занимающую культуру или после первого укоса многолетних трав|Машины для внесения органических удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Основное внесение удобрений|Основное внесение минеральных удобрений|178|N15P75K75 - разбросным способом под основную обработку почвы или под культивацию; N15P15 K15 - в рядки при посеве |N15P75K75 - разбросным способом под основную обработку почвы или под культивацию; N15P15 K15 - в рядки при посеве|Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики; Разбрасыватели туков; Сеялки с устройствами для внесения удобрений 
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Подготовка семян к посеву|Воздушно-тепловой обогрев|179| 3-5 дн. на солнце или в сушилке при t45°C 2-3 часа |Перед посевом.|Оборудование для теплового обогрева
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Подготовка семян к посеву|Протравливание семян|180|Фунгицидные и инсектицидные протравители: Винцит Форте 1,25 л/т + Пикус 1,0 л/т. Расход раб.жидкости – 10 л/т.|Перед посевом. Свежеубранные семена не позднее 2-3 дней; из переходящего фонда - за 2-3 недели до посева|Протравители семян
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Посев|Загрузка семян в транспортные средства|181||Перед посевом|Зернопогрузчики
