Зона|Провинция|Культура|Уровень технологий|Предшественник|Процессы|Операции|Номер Операции|Технологические параметры|Сроки|Техника
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Посев|Загрузка семян в транспортные средства|270||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Посев|Транспортировка|271|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Посев|Посев|272|Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см. Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия |При среднесуточной температуре не выше 16-18 оС в течение 3 суток. Среднестатистические календарные сроки 25 августа – 15 сентября|Сеялки зерновые и зернотуковые рядовые и узкорядные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Уход за посевами|Боронование посевов|273|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|274|Опрыскивание посевов баковой смесью гербицида, инсектицида и фунгицида (Линтур 180 г/га + Данадим, КЭ 1 л/га + Импакт, КС 0,5 л/га).|Осенью или весной в фазу кущения растений|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Уход за посевами|Подкормки азотными удобрениями|275|N60|В фазу весеннего отрастания|"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Уборка урожая|Обкашивание полей|276|Восковая спелость|За 10 дней до начала основной уборки|Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Уборка урожая|Прямое комбайнирование|277|При влажности зерна 18-20%||Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Уборка урожая|Раздельная уборка:|278|При засорённом хлебостое, влажности зерна 24-26%||Жатки валковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Уборка урожая|скашивание в валки|279|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Уборка урожая|Подбор валков|280|Влажность зерна не более 14-15%.|Через 3-5 дней после скашивания|Комбайны с подборщиками
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Послеуборочная обработка зерна|Взвешивание|281|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Послеуборочная обработка зерна|Предварительная очистка|282|Очистка от первичных примесей||Машины предварительной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Послеуборочная обработка зерна|Сушка зерна|283|||Сушилки стационарные, передвижные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Послеуборочная обработка зерна|Первичная очистка|284|Доведение зерна до кондиционных параметров по содержанию посторонних включений||Машины первичной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Послеуборочная обработка зерна|Подготовка семян|285|Доведение семян до кондиционных параметров согласно требованиям ГОСТ Р 52325-2005г на семена||Приставки семяочистительные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Послеуборочная обработка зерна|Проверка качества зерна|286| |При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение или элеватор|287||После очистки|Зернопогрузчики, автомобили
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Поверхностная обработка дискованием|288|В 1 -2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Культивация с боронованием|289|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Предпосевная обработка|290|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Поверхностная обработка дискованием|291|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Вспашка|292|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Культивация с боронованием|293|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Предпосевная обработка|294|На глубину посева|Перед посевом|Комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Основное внесение удобрений|Известкование|295|2-5 тонн извести на га, в зависимости от кислотности почвы (доза в т/га рассчитывается по гидролитической кослотности), с обязательной заделкой в системе основной обработки почвы, включающей лущение или дискование с последующей вспашкой на 20-25 см.|Осенью при основной обработке почвы под паро-занимающую культуру или после первого укоса многолетних трав|Спецмашины по разбрасыванию извести
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Основное внесение удобрений|Внесение органических удобрений|296|Перепревший навоз, торфо-навозный компост, сидерат и др. виды органических удобрений из расчета 5-10 т/га севооборотной площади, с обязательной заделкой в системе основной обработки почвы, включающей лущение или дискование с последующей вспашкой на 20-25 см.|Осенью при основной обработке почвы под паро-занимающую культуру или после первого укоса многолетних трав|Машины для внесения органических удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Основное внесение удобрений|Основное внесение минеральных удобрений|297|N15P75K75 - разбросным способом под основную обработку почвы или под культивацию; N15P15 K15 - в рядки при посеве |N15P75K75 - разбросным способом под основную обработку почвы или под культивацию; N15P15 K15 - в рядки при посеве|"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Сеялки с устройствами для внесения удобрений"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Подготовка семян к посеву|Воздушно-тепловой обогрев|298| 3-5 дн. на солнце или в сушилке при t45°C 2-3 часа |Перед посевом.|Оборудование для теплового обогрева
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Подготовка семян к посеву|Протравливание семян|299|Фунгицидные и инсектицидные протравители: Винцит Форте 1,25 л/т + Пикус 1,0 л/т. Расход раб.жидкости – 10 л/т.|Перед посевом. Свежеубранные семена не позднее 2-3 дней; из переходящего фонда - за 2-3 недели до посева|Протравители семян
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Посев|Загрузка семян в транспортные средства|300||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Посев|Транспортировка|301|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Посев|Посев|302|Посев с одновременным внесением стартовой дозы удобрений и с оставлением технологической колеи. | При среднесуточной температуре не выше 16-18 оС в течение 3 суток.|Зернотуковые сеялки или комбинированные посевные агрегаты с предпосевной обработкой почвы
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Посев|Посев|303|Оставлять незасеянные рядки семян шириной колеи до 60 см и кратной за­хвату агрегата по уходу за посевами. Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см. Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия почвы)|Среднестатистические календарные сроки 25 августа – 15 сентября|
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уход за посевами|Боронование посевов|304|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|305|Опрыскивание посевов баковой смесью пестицидов. 1. С осени – применение средств защиты растений (гербициды, инсектициды и фунгициды) – Тандем, ВДГ 0,25 кг/га + Данадим Эксперт, КЭ 1 л/га + Импакт Эксклюзив, КС 0,5 кг/га; |Осенью в фазу кущения растений;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|306|Опрыскивание посевов баковой смесью пестицидов. 2. Весной (фаза GS 21 - 22)– инсектицид Данадим Пауер, КЭ 1 л/га + фунгицид Импакт Супер 0,75 л/га |Весной в фазу кущения – начала трубкования;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|307|Опрыскивание посевов баковой смесью пестицидов. 3. Фаза начала трубкования (фаза GS 31-32) - ретардант Сапресс, КЭ 0,3 л/га + гербицид Фокстрот, ВЭ 1,0 л/га (при наличии мятликовых сорняков) + фунгициды Импакт Супер 0,75 л/га + Данадим Пауер 0,6 л/га (при прогнозе массового развития болезней и вредителей);|В фазу начала колошения при прогнозе массового развития болезней и вредителей.|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|308|Опрыскивание посевов баковой смесью пестицидов. 4. Защита колоса при прогнозе массового развития болезней и вредителей – фунгицид Консул, КС 1,0 л/га + инсектицид Вантекс, МКС 60 мл/га.||Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уход за посевами|Подкормки азотными удобрениями|309|N60 + N30 |В фазу весеннего кущения и в фазу выхода в трубку|"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уборка урожая|Обкашивание полей|310|Восковая спелость|За 10 дней до начала основной уборки|Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уборка урожая|Прямое комбайнирование|311|При влажности зерна 18%||Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уборка урожая|Раздельная уборка: скашивание в валки|312|При засорённом хлебостое, влажности зерна 22-24%||Жатки валковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Уборка урожая|Подбор валков|313|Влажность зерна не более 14-15%.|Через 3-5 дней после скашивания|Комбайны с подборщиками
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Послеуборочная обработка зерна|Взвешивание|314|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Послеуборочная обработка зерна|Предварительная очистка|315|Очистка от первичных примесей||Машины предварительной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Послеуборочная обработка зерна|Сушка зерна|316|||Сушилки стационарные, передвижные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Послеуборочная обработка зерна|Первичная очистка|317|Доведение зерна до кондиционных параметров по содержанию посторонних включений||Машины первичной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Послеуборочная обработка зерна|Подготовка семян|318|Доведение семян до кондиционных параметров согласно требованиям ГОСТ Р 52325-2005г на семена||Приставки семяочистительные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Послеуборочная обработка зерна|Проверка качества зерна|319||При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение в склад или элеватор|320||После очистки|Зернопогрузчики, автомобили
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Поверхностная обработка дискованием|321|В 1 -2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Культивация с боронованием|322|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Предпосевная обработка|323|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Поверхностная обработка дискованием|324|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Вспашка|325|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Культивация с боронованием|326|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Предпосевная обработка|327|На глубину посева|Перед посевом|Комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Основное внесение удобрений|Известкование|328|2-5 тонн извести на га, в зависимости от кислотности почвы (доза в т/га рассчитывается по гидролитической кислотности), с обязательной заделкой в системе основной обработки почвы, включающей лущение или дискование с последующей вспашкой на 20-25 см.|Осенью при основной обработке почвы под паро-занимающую культуру или после первого укоса многолетних трав|Спецмашины по разбрасыванию извести
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Основное внесение удобрений|Внесение органических удобрений|329|Перепревший навоз, торфо-навозный компост, сидерат и др. виды органических удобрений из расчета 5-10 т/га севооборотной площади, с обязательной заделкой в системе основной обработки почвы, включающей лущение или дискование с последующей вспашкой на 20-25 см.|Осенью при основной обработке почвы под паро-занимающую культуру или после первого укоса многолетних трав|Машины для внесения органических удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Основное внесение удобрений|Основное внесение минеральных удобрений|330|Дифференцированное внесение в зависимости от содержания в почве доступных форм основных элементов питания: N15P105K105 - разбросным способом под основную обработку почвы или под культивацию; N15P15 K15 - в рядки при посеве|N15P105K105 - разбросным способом под основную обработку почвы или под культивацию; N15P15 K15 - в рядки при посеве|"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Сеялки с устройствами для внесения удобрений"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Подготовка семян к посеву|Воздушно-тепловой обогрев|331| 3-5 дн. на солнце или в сушилке при t45°C 2-3 часа |Перед посевом|Оборудование для теплового обогрева
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Подготовка семян к посеву|Инкрустирование семян оболочкой с наполнителями (фунгициды и инсектициды)|332| На 1 т семян: вода + прилипатель + протравитель (Винцит Форте 1,25 л/т + Пикус 1,0 л/т). Расход раб.жидкости – 10 л/т.|Перед посевом. Свежеубранные семена не позднее 2-3 дней; из переходящего фонда - за 2-3 недели до посева|Оборудование для инкрустирования и протравливания семян
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Посев|Загрузка семян в транспортные средства|333||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Посев|Транспортировка|334|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Посев|Посев|335|Посев с одновременным внесением стартовой дозы удобрений и с оставлением технологической колеи. | При среднесуточной температуре не выше 16-18 оС в течение 3 суток.|Зернотуковые сеялки или комбинированные посевные агрегаты с предпосевной обработкой почвы
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Посев|Посев|336|Оставлять незасеянные рядки семян шириной колеи до 60 см и кратной за­хвату агрегата по уходу за посевами. Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см. Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия почвы)|Среднестатистические календарные сроки 25 августа – 15 сентября|
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами|Боронование посевов|337|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|338|Опрыскивание посевов баковой смесью пестицидов. 1. С осени – гербициды Атон, ВДГ 0,06 кг/га + инсектицид Данадим Пауер, КЭ 0,6 л/га + фунгицид Импакт Эксклюзив, КС 0,5 л/га + ретардант Сапресс, КЭ 0,3 л/га;|Осенью в фазу кущения растений;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|339|Опрыскивание посевов баковой смесью пестицидов. 2. Весной (фаза GS 21 - 22) – инсектициды Данадим Пауер, КЭ 0,6 л/га + Вантекс 60 мл/га + фунгицид Альто Супер, КЭ 0,5 л/га + гербициды Фокстрот, ВЭ 1,0 л/га и Агроксон 0,5 л/га.|Весной в фазу кущения – начала трубкования;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|340|Опрыскивание посевов баковой смесью пестицидов. 3. В начале трубкования (фаза GS 31-32) - ретардант Сапресс, КЭ 0,3 л/га + фунгицид Консул 0,8 л/га + инсектицид Данадим Пауер 0,6 л/га (при массовом развитии вредителей и эпифитотийном развитии болезней).|В фазу начала колошения по прогнозу развития болезней и вредителей.|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|341|Опрыскивание посевов баковой смесью пестицидов. 4. Для защиты флагового листа и колоса – Консул, КС 1,0 л/га + Вантекс, МКС 60 мл/га ||Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами||342|||Агрегаты для растаривания и измельчения минеральных удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами|Подкормки азотными удобрениями|343|Дифференцированное внесение по результатам листовой диагностики: в среднем N60 весной в кущение, |В фазы: весеннего кущения, |"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Штанговые опрыскиватели для внесения жидких удобрений
"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами|Подкормки азотными удобрениями|344|Дифференцированное внесение по результатам листовой диагностики: в среднем N30 в фазу выхода в трубку, |В фазы: выхода в трубку, |"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Штанговые опрыскиватели для внесения жидких удобрений
"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами|Подкормки азотными удобрениями|345|Дифференцированное внесение по результатам листовой диагностики: в среднем N30 – в колошение - цветение (для повышения качества зерна рекомендуется проводить внекорневую подкормку 15-20 % раствором мочевины).|В фазы: колошения|"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Штанговые опрыскиватели для внесения жидких удобрений"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уход за посевами|Внекорневые обработки|346|1. Обработка в фазу кущения – начала трубкования жидкими комплексными удобрениями ЖКУ APALIQVA NP 11:37 30 кг/га + растворами микроудобрений с гуматом калия + биологические стимуляторы роста + микробиологические препараты фунгицидного действия Метабактерин, СП 12 г/га или АпаСил 100 г/га.|в фазу кущения – начала трубкования|Штанговые опрыскиватели для внесения жидких удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уборка урожая|Обкашивание полей|347|Восковая спелость|За 10 дней до начала основной уборки|Комбайны с датчиками урожайности и системами позиционирования
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Уборка урожая|Прямое комбайнирование|348|При влажности зерна 16%||Комбайны с датчиками урожайности и системами позиционирования
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Послеуборочная обработка зерна|Взвешивание|349|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Послеуборочная обработка зерна|Предварительная очистка|350|Очистка от первичных примесей|| Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Послеуборочная обработка зерна|Сушка зерна|351||| Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Послеуборочная обработка зерна|Первичная очистка|352|Доведение зерна до кондиционных параметров по содержанию посторонних включений|| Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Послеуборочная обработка зерна|Подготовка семян|353|Доведение семян до кондиционных параметров согласно требованиям ГОСТ Р 52325-2005г на семена|| Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Послеуборочная обработка зерна|Проверка качества зерна|354| |При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение или элеватор|355||После очистки|Зернопогрузчики, автомобили
